#RawFactor(z),ParFactor(c),dz/dc
IndexCurve/EUR-EONIA/8,DiscountCurve/EUR/1,-0.000000000338
IndexCurve/EUR-EONIA/9,DiscountCurve/EUR/1,-0.000000000569
IndexCurve/EUR-EONIA/10,DiscountCurve/EUR/1,-0.000000003002
IndexCurve/EUR-EONIA/11,DiscountCurve/EUR/1,-0.000000007082
IndexCurve/EUR-EONIA/12,DiscountCurve/EUR/1,-0.000000011706
IndexCurve/EUR-EONIA/13,DiscountCurve/EUR/1,-0.000000012558
IndexCurve/EUR-EONIA/14,DiscountCurve/EUR/1,-0.000000011098
IndexCurve/EUR-EONIA/15,DiscountCurve/EUR/1,-0.000000009477
IndexCurve/EUR-EURIBOR-1M/0,DiscountCurve/EUR/1,0.000000000197
IndexCurve/EUR-EURIBOR-1M/1,DiscountCurve/EUR/1,-0.000000000160
IndexCurve/EUR-EURIBOR-1M/2,DiscountCurve/EUR/1,0.000000000866
IndexCurve/EUR-EURIBOR-1M/3,DiscountCurve/EUR/1,-0.000000009320
IndexCurve/EUR-EURIBOR-1M/4,DiscountCurve/EUR/1,0.000000136261
IndexCurve/EUR-EURIBOR-1M/5,DiscountCurve/EUR/1,-0.000002244241
IndexCurve/EUR-EURIBOR-1M/6,DiscountCurve/EUR/1,-0.000001123195
IndexCurve/EUR-EURIBOR-1M/7,DiscountCurve/EUR/1,-0.000000749053
IndexCurve/EUR-EURIBOR-1M/8,DiscountCurve/EUR/1,-0.000000562293
IndexCurve/EUR-EURIBOR-1M/9,DiscountCurve/EUR/1,-0.000000450530
IndexCurve/EUR-EURIBOR-1M/10,DiscountCurve/EUR/1,-0.000000324911
IndexCurve/EUR-EURIBOR-1M/11,DiscountCurve/EUR/1,-0.000000233149
IndexCurve/EUR-EURIBOR-1M/12,DiscountCurve/EUR/1,-0.000000162832
IndexCurve/EUR-EURIBOR-1M/13,DiscountCurve/EUR/1,-0.000000125347
IndexCurve/EUR-EURIBOR-1M/14,DiscountCurve/EUR/1,-0.000000101649
IndexCurve/EUR-EURIBOR-1M/15,DiscountCurve/EUR/1,-0.000000084170
IndexCurve/EUR-EURIBOR-3M/0,DiscountCurve/EUR/1,0.000000000000
IndexCurve/EUR-EURIBOR-3M/1,DiscountCurve/EUR/1,0.000000000000
IndexCurve/EUR-EURIBOR-3M/2,DiscountCurve/EUR/1,0.000000000000
IndexCurve/EUR-EURIBOR-3M/3,DiscountCurve/EUR/1,-0.000000000003
IndexCurve/EUR-EURIBOR-3M/4,DiscountCurve/EUR/1,0.000000000041
IndexCurve/EUR-EURIBOR-3M/5,DiscountCurve/EUR/1,-0.000000000680
IndexCurve/EUR-EURIBOR-3M/6,DiscountCurve/EUR/1,0.000000000090
IndexCurve/EUR-EURIBOR-3M/7,DiscountCurve/EUR/1,0.000000000110
IndexCurve/EUR-EURIBOR-3M/8,DiscountCurve/EUR/1,-0.000000000316
IndexCurve/EUR-EURIBOR-3M/9,DiscountCurve/EUR/1,-0.000000001135
IndexCurve/EUR-EURIBOR-3M/10,DiscountCurve/EUR/1,-0.000000003802
IndexCurve/EUR-EURIBOR-3M/11,DiscountCurve/EUR/1,-0.000000008350
IndexCurve/EUR-EURIBOR-3M/12,DiscountCurve/EUR/1,-0.000000012954
IndexCurve/EUR-EURIBOR-3M/13,DiscountCurve/EUR/1,-0.000000012948
IndexCurve/EUR-EURIBOR-3M/14,DiscountCurve/EUR/1,-0.000000011727
