#ParFactor,RawFactor,ParSensitivity
DiscountCurve/GBP/9,DiscountCurve/GBP/7,0.002354946196
DiscountCurve/GBP/9,DiscountCurve/GBP/8,0.003127349509
DiscountCurve/GBP/9,DiscountCurve/GBP/9,0.992954367637
DiscountCurve/GBP/10,DiscountCurve/GBP/3,0.000212865812
DiscountCurve/GBP/10,DiscountCurve/GBP/5,0.000645320947
DiscountCurve/GBP/10,DiscountCurve/GBP/6,0.001710204742
DiscountCurve/GBP/10,DiscountCurve/GBP/7,0.002557037906
DiscountCurve/GBP/10,DiscountCurve/GBP/8,0.003395706877
DiscountCurve/GBP/10,DiscountCurve/GBP/9,0.006308314646
DiscountCurve/GBP/10,DiscountCurve/GBP/10,0.980881527913
DiscountCurve/GBP/10,DiscountCurve/GBP/11,0.001274357340
DiscountCurve/GBP/11,DiscountCurve/GBP/3,0.000233548272
DiscountCurve/GBP/11,DiscountCurve/GBP/5,0.000708020107
DiscountCurve/GBP/11,DiscountCurve/GBP/6,0.001876357915
DiscountCurve/GBP/11,DiscountCurve/GBP/7,0.002805452714
DiscountCurve/GBP/11,DiscountCurve/GBP/8,0.003725582696
DiscountCurve/GBP/11,DiscountCurve/GBP/9,0.006921037495
DiscountCurve/GBP/11,DiscountCurve/GBP/10,0.015731574427
DiscountCurve/GBP/11,DiscountCurve/GBP/11,0.956701868124
DiscountCurve/GBP/12,DiscountCurve/GBP/3,0.000212521923
DiscountCurve/GBP/12,DiscountCurve/GBP/5,0.000644276027
DiscountCurve/GBP/12,DiscountCurve/GBP/6,0.001707419929
DiscountCurve/GBP/12,DiscountCurve/GBP/7,0.002552855596
DiscountCurve/GBP/12,DiscountCurve/GBP/8,0.003390128428
DiscountCurve/GBP/12,DiscountCurve/GBP/9,0.006297793933
DiscountCurve/GBP/12,DiscountCurve/GBP/10,0.014314509710
DiscountCurve/GBP/12,DiscountCurve/GBP/11,0.030937380445
DiscountCurve/GBP/12,DiscountCurve/GBP/12,0.919664752218
DiscountCurve/GBP/13,DiscountCurve/GBP/3,0.000192699876
DiscountCurve/GBP/13,DiscountCurve/GBP/5,0.000584183558
DiscountCurve/GBP/13,DiscountCurve/GBP/6,0.001548163640
DiscountCurve/GBP/13,DiscountCurve/GBP/7,0.002314739371
DiscountCurve/GBP/13,DiscountCurve/GBP/8,0.003073911350
DiscountCurve/GBP/13,DiscountCurve/GBP/9,0.005710331700
DiscountCurve/GBP/13,DiscountCurve/GBP/10,0.012979053802
DiscountCurve/GBP/13,DiscountCurve/GBP/11,0.028050264336
DiscountCurve/GBP/13,DiscountCurve/GBP/12,0.048493224020
DiscountCurve/GBP/13,DiscountCurve/GBP/13,0.867762419830
DiscountCurve/GBP/14,DiscountCurve/GBP/3,0.000162191438
DiscountCurve/GBP/14,DiscountCurve/GBP/5,0.000491694798
DiscountCurve/GBP/14,DiscountCurve/GBP/6,0.001303054699
DiscountCurve/GBP/14,DiscountCurve/GBP/7,0.001948262554
DiscountCurve/GBP/14,DiscountCurve/GBP/8,0.002587237687
DiscountCurve/GBP/14,DiscountCurve/GBP/9,0.004806234498
DiscountCurve/GBP/14,DiscountCurve/GBP/10,0.010924029783
DiscountCurve/GBP/14,DiscountCurve/GBP/11,0.023608531235
DiscountCurve/GBP/14,DiscountCurve/GBP/12,0.040813369032
DiscountCurve/GBP/14,DiscountCurve/GBP/13,0.049385288298
DiscountCurve/GBP/14,DiscountCurve/GBP/14,0.838900709170
DiscountCurve/GBP/15,DiscountCurve/GBP/3,0.000141366615
DiscountCurve/GBP/15,DiscountCurve/GBP/5,0.000428562743
DiscountCurve/GBP/15,DiscountCurve/GBP/6,0.001135745726
DiscountCurve/GBP/15,DiscountCurve/GBP/7,0.001698109460
DiscountCurve/GBP/15,DiscountCurve/GBP/8,0.002255040068
DiscountCurve/GBP/15,DiscountCurve/GBP/9,0.004189112015
DiscountCurve/GBP/15,DiscountCurve/GBP/10,0.009521324448
DiscountCurve/GBP/15,DiscountCurve/GBP/11,0.020576817992
DiscountCurve/GBP/15,DiscountCurve/GBP/12,0.035571696935
DiscountCurve/GBP/15,DiscountCurve/GBP/13,0.043042371214
DiscountCurve/GBP/15,DiscountCurve/GBP/14,0.049710862055
DiscountCurve/GBP/15,DiscountCurve/GBP/15,0.809389995988
DiscountCurve/USD/0,DiscountCurve/EUR/0,-0.043448148919
DiscountCurve/USD/0,DiscountCurve/USD/0,0.043448315570
DiscountCurve/USD/1,DiscountCurve/EUR/1,-0.087091828407
