#Scenario,Key,Factor,BaseValue,ShiftSize
parallel_rates,SwaptionVolatility/EUR/1,SwaptionVolatility/EUR/1/1Y/5Y/ATM,0.00000000,0.00000000
parallel_rates,SwaptionVolatility/EUR/2,SwaptionVolatility/EUR/2/1Y/10Y/ATM,0.00000000,0.00000000
parallel_rates,SwaptionVolatility/EUR/3,SwaptionVolatility/EUR/3/5Y/1Y/ATM,0.00000000,0.00000000
parallel_rates,SwaptionVolatility/EUR/4,SwaptionVolatility/EUR/4/5Y/5Y/ATM,0.00000000,0.00000000
parallel_rates,SwaptionVolatility/EUR/5,SwaptionVolatility/EUR/5/5Y/10Y/ATM,0.00000000,0.00000000
parallel_rates,SwaptionVolatility/EUR/6,SwaptionVolatility/EUR/6/7Y/1Y/ATM,0.00000000,0.00000000
parallel_rates,SwaptionVolatility/EUR/7,SwaptionVolatility/EUR/7/7Y/5Y/ATM,0.00000000,0.00000000
parallel_rates,SwaptionVolatility/EUR/8,SwaptionVolatility/EUR/8/7Y/10Y/ATM,0.00000000,0.00000000
parallel_rates,SwaptionVolatility/EUR/9,SwaptionVolatility/EUR/9/10Y/1Y/ATM,0.00000000,0.00000000
parallel_rates,SwaptionVolatility/EUR/10,SwaptionVolatility/EUR/10/10Y/5Y/ATM,0.00000000,0.00000000
parallel_rates,SwaptionVolatility/EUR/11,SwaptionVolatility/EUR/11/10Y/10Y/ATM,0.00000000,0.00000000
parallel_rates,OptionletVolatility/EUR/0,OptionletVolatility/EUR/0/1Y/0.01,0.00000000,0.00000000
parallel_rates,OptionletVolatility/EUR/1,OptionletVolatility/EUR/1/1Y/0.02,0.00000000,0.00000000
parallel_rates,OptionletVolatility/EUR/2,OptionletVolatility/EUR/2/1Y/0.03,0.00000000,0.00000000
parallel_rates,OptionletVolatility/EUR/3,OptionletVolatility/EUR/3/1Y/0.04,0.00000000,0.00000000
parallel_rates,OptionletVolatility/EUR/4,OptionletVolatility/EUR/4/1Y/0.05,0.00000000,0.00000000
parallel_rates,OptionletVolatility/EUR/5,OptionletVolatility/EUR/5/2Y/0.01,0.00000000,0.00000000
parallel_rates,OptionletVolatility/EUR/6,OptionletVolatility/EUR/6/2Y/0.02,0.00000000,0.00000000
